Player,Team,Stat
Miller Moss,USC,336
Cameron Ward,Miami,319
Cade Klubnik,Clemson,308
CJ Bailey,NC State,306
Avery Johnson,Kansas State,298
Dillon Gabriel,Oregon,290
Jalon Daniels,Kansas,247
Jalen Milroe,Alabama,239
Garrett Nussmeier,LSU,233
Jackson Arnold,Oklahoma,225
Conner Weigman,Texas A&M,217
Quinn Ewers,Texas,211
Jack Tuttle,Michigan,208
Riley Leonard,Notre Dame,203
Isaac Wilson,Utah,199
Brady Cook,Missouri,194
Nico Iamaleava,Tennessee,194
Carson Beck,Georgia,175
Cade McNamara,Iowa,150
Noah Fifita,Arizona,138
Brock Glenn,Florida State,110
Alan Bowman,Oklahoma State,85
