Player,Team,Stat
Cameron Ward,Miami,404
Jaxson Dart,Ole Miss,382
Garrett Nussmeier,LSU,352
Drew Allar,Penn State,309
Miller Moss,USC,283
Will Howard,Ohio State,275
Arch Manning,Texas,258
Brady Cook,Missouri,226
Cade Klubnik,Clemson,209
Isaac Wilson,Utah,207
Alan Bowman,Oklahoma State,206
CJ Bailey,NC State,204
Nico Iamaleava,Tennessee,194
Jalon Daniels,Kansas,184
D.J. Uiagalelei,Florida State,177
Marcel Reed,Texas A&M,173
Riley Leonard,Notre Dame,154
Michael Hawkins Jr.,Oklahoma,132
Avery Johnson,Kansas State,130
Cade McNamara,Iowa,62
Alex Orji,Michigan,32
