Player,Team,Stat
Carson Beck,Georgia,439
Garrett Nussmeier,LSU,409
Jalen Milroe,Alabama,374
Alan Bowman,Oklahoma State,364
Cameron Ward,Miami,343
Arch Manning,Texas,324
Miller Moss,USC,308
Isaac Wilson,Utah,280
Dillon Gabriel,Oregon,278
Jaxson Dart,Ole Miss,261
Avery Johnson,Kansas State,259
Cade Klubnik,Clemson,255
Will Howard,Ohio State,244
D.J. Uiagalelei,Florida State,222
Noah Fifita,Arizona,197
Jalon Daniels,Kansas,179
Marcel Reed,Texas A&M,163
Riley Leonard,Notre Dame,163
Michael Hawkins Jr.,Oklahoma,161
Drew Allar,Penn State,135
CJ Bailey,NC State,108
Alex Orji,Michigan,86
