Player,Team,Stat
Cameron Ward,Miami,437
Jalen Milroe,Alabama,310
Noah Fifita,Arizona,301
Jaxson Dart,Ole Miss,285
Conner Weigman,Texas A&M,276
CJ Bailey,NC State,272
Jalon Daniels,Kansas,260
Dillon Gabriel,Oregon,257
Carson Beck,Georgia,240
Drew Allar,Penn State,237
Cade Klubnik,Clemson,235
Brock Glenn,Florida State,228
Will Howard,Ohio State,209
Miller Moss,USC,200
Brady Cook,Missouri,186
Nico Iamaleava,Tennessee,158
Alan Bowman,Oklahoma State,116
Jack Tuttle,Michigan,98
Cade McNamara,Iowa,98
