Player,Team,Stat
Noah Fifita,Arizona,422
Jaxson Dart,Ole Miss,418
Cameron Ward,Miami,385
Dillon Gabriel,Oregon,380
Miller Moss,USC,378
Grayson McCall,NC State,318
Nico Iamaleava,Tennessee,314
Garrett Nussmeier,LSU,304
Carson Beck,Georgia,278
D.J. Uiagalelei,Florida State,272
Alan Bowman,Oklahoma State,267
Quinn Ewers,Texas,260
Cameron Rising,Utah,254
Cade McNamara,Iowa,251
Will Howard,Ohio State,228
Brady Cook,Missouri,218
Drew Allar,Penn State,216
Jalen Milroe,Alabama,200
Riley Leonard,Notre Dame,158
Avery Johnson,Kansas State,153
Jalon Daniels,Kansas,148
Cade Klubnik,Clemson,142
Jackson Arnold,Oklahoma,141
Davis Warren,Michigan,118
Conner Weigman,Texas A&M,100
