Player,Team,Stat
Cade Klubnik,Clemson,378
Jaxson Dart,Ole Miss,377
Alan Bowman,Oklahoma State,326
Cameron Ward,Miami,304
Garrett Nussmeier,LSU,302
Will Howard,Ohio State,292
Quinn Ewers,Texas,246
Dillon Gabriel,Oregon,243
Carson Beck,Georgia,242
Miller Moss,USC,229
Brady Cook,Missouri,228
Nico Iamaleava,Tennessee,211
Davis Warren,Michigan,204
Drew Allar,Penn State,204
Jalen Milroe,Alabama,194
Avery Johnson,Kansas State,181
Jackson Arnold,Oklahoma,174
Noah Fifita,Arizona,173
Riley Leonard,Notre Dame,163
Jalon Daniels,Kansas,141
Conner Weigman,Texas A&M,125
Grayson McCall,NC State,104
Cade McNamara,Iowa,99
Cameron Rising,Utah,92
