Player,Team,Stat
Garrett Nussmeier,LSU,405
Alan Bowman,Oklahoma State,359
Jaxson Dart,Ole Miss,311
Miller Moss,USC,308
Noah Fifita,Arizona,294
Dillon Gabriel,Oregon,291
Quinn Ewers,Texas,288
Avery Johnson,Kansas State,253
Will Howard,Ohio State,221
Jalen Milroe,Alabama,215
Jalon Daniels,Kansas,209
Cameron Ward,Miami,208
Jackson Arnold,Oklahoma,182
Riley Leonard,Notre Dame,178
Isaac Wilson,Utah,171
Drew Allar,Penn State,148
Davis Warren,Michigan,123
Brendan Sullivan,Iowa,79
Marcel Reed,Texas A&M,70
Luke Kromenhoek,Florida State,61
Drew Pyne,Missouri,42
